timestamp,created_at_termo2,context_termo2,termo2,date
1699552978149,1699552978149,{},24.5,2023-11-09 13:02:58.149000-05:00
1699552976613,1699552976613,{},25.0,2023-11-09 13:02:56.613000-05:00
1699552975084,1699552975084,{},25.0,2023-11-09 13:02:55.084000-05:00
1699552973602,1699552973602,{},24.0,2023-11-09 13:02:53.602000-05:00
1699552972097,1699552972097,{},25.0,2023-11-09 13:02:52.097000-05:00
1699552970723,1699552970723,{},25.25,2023-11-09 13:02:50.723000-05:00
1699552969081,1699552969081,{},24.75,2023-11-09 13:02:49.081000-05:00
1699552967586,1699552967586,{},25.0,2023-11-09 13:02:47.586000-05:00
1699552966074,1699552966074,{},25.0,2023-11-09 13:02:46.074000-05:00
1699552964563,1699552964563,{},24.5,2023-11-09 13:02:44.563000-05:00
1699552963068,1699552963068,{},25.0,2023-11-09 13:02:43.068000-05:00
1699552961676,1699552961676,{},25.0,2023-11-09 13:02:41.676000-05:00
1699552960110,1699552960110,{},24.75,2023-11-09 13:02:40.110000-05:00
1699552958562,1699552958562,{},25.0,2023-11-09 13:02:38.562000-05:00
1699552957137,1699552957137,{},24.5,2023-11-09 13:02:37.137000-05:00
1699552955553,1699552955553,{},24.75,2023-11-09 13:02:35.553000-05:00
1699552954044,1699552954044,{},24.75,2023-11-09 13:02:34.044000-05:00
1699552952556,1699552952556,{},24.75,2023-11-09 13:02:32.556000-05:00
1699552951056,1699552951056,{},25.25,2023-11-09 13:02:31.056000-05:00
1699552949544,1699552949544,{},25.25,2023-11-09 13:02:29.544000-05:00
1699552948043,1699552948043,{},25.0,2023-11-09 13:02:28.043000-05:00
1699552946529,1699552946529,{},24.75,2023-11-09 13:02:26.529000-05:00
1699552945041,1699552945041,{},25.0,2023-11-09 13:02:25.041000-05:00
1699552943520,1699552943520,{},24.75,2023-11-09 13:02:23.520000-05:00
1699552942006,1699552942006,{},25.0,2023-11-09 13:02:22.006000-05:00
1699552940511,1699552940511,{},24.5,2023-11-09 13:02:20.511000-05:00
